mean: 3.63477  std dev: 6.69361
mean: 37.5534  std dev: 1.06796
mean: -41.1906  std dev: 3.8389
mean: 47.9017  std dev: 0.717169
mean: 51.159  std dev: 0.743914
mean: 7.87716  std dev: 55.494
mean: 62.0171  std dev: 0.78927
mean: 58.9921  std dev: 0.362051
mean: 52.9348  std dev: 26.3865
mean: 52.5276  std dev: 0.378354
mean: 21.6067  std dev: 32.9575
mean: 61.9506  std dev: 39.6059
mean: 4.37949  std dev: 30.7345
mean: 4.60013  std dev: 31.8162
mean: -15.0297  std dev: 29.6265
mean: 1.502  std dev: 33.4974
mean: 19.1913  std dev: 0.617668
mean: -0.311736  std dev: 2.01402
mean: 11.4518  std dev: 14.8726
mean: -7.18551  std dev: 20.5833
mean: -28.4183  std dev: 0.763926
mean: -24.536  std dev: 0.434986
mean: 40.0881  std dev: 0.664127
mean: 27.0857  std dev: 0.89253
mean: -0.198991  std dev: 10.1905
mean: 8.91627  std dev: 7.19758
